2021-08-19 22:20:51 status unpacked libxmu6:amd64 2:1.1.3-0ubuntu1
2021-08-19 22:20:51 install libxpm4:amd64 <none> 1:3.5.12-1
2021-08-19 22:20:51 status half-installed libxpm4:amd64 1:3.5.12-1
2021-08-19 22:20:51 status unpacked libxpm4:amd64 1:3.5.12-1
2021-08-19 22:20:51 install libxaw7:amd64 <none> 2:1.0.13-1
2021-08-19 22:20:51 status half-installed libxaw7:amd64 2:1.0.13-1
2021-08-19 22:20:51 status unpacked libxaw7:amd64 2:1.0.13-1
2021-08-19 22:20:51 install libxcb-randr0:amd64 <none> 1.14-2
2021-08-19 22:20:51 status half-installed libxcb-randr0:amd64 1.14-2
2021-08-19 22:20:51 status unpacked libxcb-randr0:amd64 1.14-2
2021-08-19 22:20:51 install libxcb-shape0:amd64 <none> 1.14-2
2021-08-19 22:20:51 status half-installed libxcb-shape0:amd64 1.14-2
2021-08-19 22:20:51 status unpacked libxcb-shape0:amd64 1.14-2
2021-08-19 22:20:51 install libxcomposite1:amd64 <none> 1:0.4.5-1
2021-08-19 22:20:51 status half-installed libxcomposite1:amd64 1:0.4.5-1
2021-08-19 22:20:51 status unpacked libxcomposite1:amd64 1:0.4.5-1
2021-08-19 22:20:51 install libxrender1:amd64 <none> 1:0.9.10-1
2021-08-19 22:20:51 status half-installed libxrender1:amd64 1:0.9.10-1
2021-08-19 22:20:51 status unpacked libxrender1:amd64 1:0.9.10-1
2021-08-19 22:20:51 install libxft2:amd64 <none> 2.3.3-0ubuntu1
2021-08-19 22:20:51 status half-installed libxft2:amd64 2.3.3-0ubuntu1
2021-08-19 22:20:51 status unpacked libxft2:amd64 2.3.3-0ubuntu1
2021-08-19 22:20:51 install libxi6:amd64 <none> 2:1.7.10-0ubuntu1
2021-08-19 22:20:51 status half-installed libxi6:amd64 2:1.7.10-0ubuntu1
2021-08-19 22:20:51 status unpacked libxi6:amd64 2:1.7.10-0ubuntu1
2021-08-19 22:20:51 install libxinerama1:amd64 <none> 2:1.1.4-2
2021-08-19 22:20:51 status half-installed libxinerama1:amd64 2:1.1.4-2
2021-08-19 22:20:51 status unpacked libxinerama1:amd64 2:1.1.4-2
2021-08-19 22:20:52 install libxkbfile1:amd64 <none> 1:1.1.0-1
2021-08-19 22:20:52 status half-installed libxkbfile1:amd64 1:1.1.0-1
2021-08-19 22:20:52 status unpacked libxkbfile1:amd64 1:1.1.0-1
2021-08-19 22:20:52 install libxrandr2:amd64 <none> 2:1.5.2-0ubuntu1
2021-08-19 22:20:52 status half-installed libxrandr2:amd64 2:1.5.2-0ubuntu1
2021-08-19 22:20:52 status unpacked libxrandr2:amd64 2:1.5.2-0ubuntu1
2021-08-19 22:20:52 install libxtst6:amd64 <none> 2:1.2.3-1
2021-08-19 22:20:52 status half-installed libxtst6:amd64 2:1.2.3-1
2021-08-19 22:20:52 status unpacked libxtst6:amd64 2:1.2.3-1
2021-08-19 22:20:52 install libxv1:amd64 <none> 2:1.0.11-1
2021-08-19 22:20:52 status half-installed libxv1:amd64 2:1.0.11-1
2021-08-19 22:20:52 status unpacked libxv1:amd64 2:1.0.11-1
2021-08-19 22:20:52 install libxxf86dga1:amd64 <none> 2:1.1.5-0ubuntu1
2021-08-19 22:20:52 status half-installed libxxf86dga1:amd64 2:1.1.5-0ubuntu1
2021-08-19 22:20:52 status unpacked libxxf86dga1:amd64 2:1.1.5-0ubuntu1
2021-08-19 22:20:52 install mesa-vulkan-drivers:amd64 <none> 21.0.3-0ubuntu0.3~20.04.1
2021-08-19 22:20:52 status half-installed mesa-vulkan-drivers:amd64 21.0.3-0ubuntu0.3~20.04.1
2021-08-19 22:20:52 status unpacked mesa-vulkan-drivers:amd64 21.0.3-0ubuntu0.3~20.04.1
2021-08-19 22:20:52 install pulseaudio-utils:amd64 <none> 1:13.99.1-1ubuntu3.11
2021-08-19 22:20:52 status half-installed pulseaudio-utils:amd64 1:13.99.1-1ubuntu3.11
2021-08-19 22:20:52 status unpacked pulseaudio-utils:amd64 1:13.99.1-1ubuntu3.11
2021-08-19 22:20:52 install wslu:all <none> 2.3.6-0ubuntu2~20.04.0
2021-08-19 22:20:52 status half-installed wslu:all 2.3.6-0ubuntu2~20.04.0
2021-08-19 22:20:52 status unpacked wslu:all 2.3.6-0ubuntu2~20.04.0
2021-08-19 22:20:52 install ubuntu-wsl:amd64 <none> 1.450.2
2021-08-19 22:20:52 status half-installed ubuntu-wsl:amd64 1.450.2
2021-08-19 22:20:52 status unpacked ubuntu-wsl:amd64 1.450.2
2021-08-19 22:20:52 install update-motd:all <none> 3.6-0ubuntu6.1
2021-08-19 22:20:52 status half-installed update-motd:all 3.6-0ubuntu6.1
2021-08-19 22:20:52 status unpacked update-motd:all 3.6-0ubuntu6.1
2021-08-19 22:20:52 install libglvnd0:amd64 <none> 1.3.2-1~ubuntu0.20.04.1
2021-08-19 22:20:52 status half-installed libglvnd0:amd64 1.3.2-1~ubuntu0.20.04.1
2021-08-19 22:20:52 status unpacked libglvnd0:amd64 1.3.2-1~ubuntu0.20.04.1
2021-08-19 22:20:52 install libglx0:amd64 <none> 1.3.2-1~ubuntu0.20.04.1
2021-08-19 22:20:52 status half-installed libglx0:amd64 1.3.2-1~ubuntu0.20.04.1
2021-08-19 22:20:52 status unpacked libglx0:amd64 1.3.2-1~ubuntu0.20.04.1
2021-08-19 22:20:52 install libgl1:amd64 <none> 1.3.2-1~ubuntu0.20.04.1
2021-08-19 22:20:52 status half-installed libgl1:amd64 1.3.2-1~ubuntu0.20.04.1
2021-08-19 22:20:53 status unpacked libgl1:amd64 1.3.2-1~ubuntu0.20.04.1
2021-08-19 22:20:53 install x11-utils:amd64 <none> 7.7+5
2021-08-19 22:20:53 status half-installed x11-utils:amd64 7.7+5
2021-08-19 22:20:53 status unpacked x11-utils:amd64 7.7+5
2021-08-19 22:20:53 install show-motd:all <none> 3.6-0ubuntu6.1
2021-08-19 22:20:53 status half-installed show-motd:all 3.6-0ubuntu6.1
2021-08-19 22:20:53 status unpacked show-motd:all 3.6-0ubuntu6.1
2021-08-19 22:20:53 startup packages configure
2021-08-19 22:20:53 configure libxcb-dri3-0:amd64 1.14-2 <none>
2021-08-19 22:20:53 status unpacked libxcb-dri3-0:amd64 1.14-2
2021-08-19 22:20:53 status half-configured libxcb-dri3-0:amd64 1.14-2
2021-08-19 22:20:53 status installed libxcb-dri3-0:amd64 1.14-2
2021-08-19 22:20:53 configure libx11-xcb1:amd64 2:1.6.9-2ubuntu1.2 <none>
2021-08-19 22:20:53 status unpacked libx11-xcb1:amd64 2:1.6.9-2ubuntu1.2
2021-08-19 22:20:53 status half-configured libx11-xcb1:amd64 2:1.6.9-2ubuntu1.2
2021-08-19 22:20:53 status installed libx11-xcb1:amd64 2:1.6.9-2ubuntu1.2
